,geography,value,geography_group
372,53033032313.0,363306.60557605576,Census2010Tract
373,53033032315.0,137338.1534446764,Census2010Tract
374,53033032316.0,233026.41154462853,Census2010Tract
375,53033032317.0,140814.4744592729,Census2010Tract
376,53033032318.0,145497.5059665871,Census2010Tract
377,53033032319.0,268138.9524810765,Census2010Tract
378,53033032320.0,229369.26725905674,Census2010Tract
379,53033032321.0,326004.7943229409,Census2010Tract
380,53033032322.0,254735.99196428573,Census2010Tract
381,53033032323.0,356327.78601012425,Census2010Tract
382,53033032324.0,392433.7641509434,Census2010Tract
383,53033032325.0,371919.0658882402,Census2010Tract
384,53033032326.0,233804.48318293682,Census2010Tract
385,53033032327.0,155020.54568921012,Census2010Tract
386,53033032328.0,282070.88317757007,Census2010Tract
387,53033032329.0,163209.3119918699,Census2010Tract
388,53033032401.0,31691.04653327129,Census2010Tract
389,53033032402.0,26727.044124071646,Census2010Tract
390,53033032500.0,39883.936345966955,Census2010Tract
391,53033032601.0,61724.213878327,Census2010Tract
392,53033032602.0,56142.60293152483,Census2010Tract
393,53033032702.0,42112.372812372814,Census2010Tract
394,53033032703.0,52547.45640326975,Census2010Tract
395,53033032704.0,41487.44211344211,Census2010Tract
396,53033032800.0,25853.191413237924,Census2010Tract
397,53033990100.0,0.0,Census2010Tract
398,53035080101.0,68034.70382165605,Census2010Tract
399,53035080102.0,69607.5900621118,Census2010Tract
400,53035080200.0,68618.459563543,Census2010Tract
401,53035080300.0,68497.06097560975,Census2010Tract
402,53035080400.0,67823.26629766298,Census2010Tract
403,53035080500.0,65951.54060913705,Census2010Tract
404,53035080600.0,70882.50302466263,Census2010Tract
405,53035080700.0,74826.35598705502,Census2010Tract
406,53035080800.0,72477.0,Census2010Tract
407,53035080900.0,75369.49294245386,Census2010Tract
408,53035081000.0,79270.25731639977,Census2010Tract
409,53035081100.0,76516.48099173553,Census2010Tract
410,53035081200.0,72196.31184407797,Census2010Tract
411,53035081400.0,59559.0,Census2010Tract
412,53035090101.0,16871.391774891774,Census2010Tract
413,53035090102.0,18343.782421875,Census2010Tract
414,53035090201.0,45470.27464788732,Census2010Tract
415,53035090202.0,43374.59470068695,Census2010Tract
416,53035090300.0,64981.812010443864,Census2010Tract
417,53035090400.0,69166.47523041474,Census2010Tract
418,53035090501.0,53950.54985337243,Census2010Tract
419,53035090502.0,46547.79376257545,Census2010Tract
420,53035090700.0,23236.911544227885,Census2010Tract
421,53035090800.0,23357.100651272944,Census2010Tract
422,53035090900.0,17954.75895395111,Census2010Tract
