"","home_county","dest_jurisdiction","mode_char1","count","prop","prop_se","est","est_se"
"378","Pierce","Renton","HOV",7,0.688321605289708,0.128526190846968,31121.4905666155,13356.3478171367
"379","Pierce","Renton","SOV",14,0.305259825070124,0.127734067751993,13801.892448644,5885.8742351097
"380","Pierce","Renton","Walk",2,0.00641856964016799,0.0049628781375726,290.206573457152,205.203674824419
"381","Pierce","Roy","SOV",1,1,0,145.431313457882,145.431313458038
"382","Pierce","Ruston","HOV",2,0.209215476931362,0.171607741478566,380.557448655972,269.090344907125
"383","Pierce","Ruston","SOV",3,0.790784523068638,0.171607741478566,1438.41624410206,1091.53491418252
"384","Pierce","Sea Tac","HOV",7,0.728674947694547,0.146903933169128,15659.9071704333,8871.71091515495
"385","Pierce","Sea Tac","SOV",6,0.271325052305453,0.146903933169128,5831.02952223006,2803.06561540474
"386","Pierce","Seattle","Bike/Micromobility",2,0.0108723299348366,0.00812729692528885,593.718207915968,419.815294406037
"387","Pierce","Seattle","HOV",10,0.00981514781785081,0.00429092879723984,535.987410957126,188.646723664109
"388","Pierce","Seattle","SOV",30,0.703119369971921,0.104386115708056,38396.0728558417,13141.7900003776
"389","Pierce","Seattle","Transit",8,0.160405110381158,0.079560965335552,8759.43199358915,4463.42000594647
"390","Pierce","Seattle","Walk",10,0.115788041894233,0.068885424477,6322.97484932575,3845.78947394152
"391","Pierce","Shoreline","SOV",2,1,0,520.04821421797,367.723595548661
"392","Pierce","Snoqualmie","SOV",1,1,0,1216.36745229755,1216.36745229692
"393","Pierce","South Prairie","SOV",1,1,0,451.86431885343,451.864318853369
"394","Pierce","Steilacoom","HOV",7,0.489535104368967,0.185344946287262,19370.5010955159,9751.65028642864
"395","Pierce","Steilacoom","SOV",8,0.510464895631033,0.185344946287262,20198.6757063916,11000.7837565327
"396","Pierce","Sumner","HOV",24,0.114959248422815,0.0338232160964577,13525.9895746703,3809.69621901114
"397","Pierce","Sumner","SOV",56,0.728606858610748,0.0577291240124959,85727.1503494484,17547.1942583394
"398","Pierce","Sumner","Walk",25,0.156433892966436,0.0457564850634239,18405.854547751,5442.69828373431
"399","Pierce","Tacoma","Bike/Micromobility",17,0.00732617887637925,0.00291819693733515,7384.51224038317,2927.79885870152
"400","Pierce","Tacoma","HOV",482,0.481817426830891,0.0308045371950101,485653.810274022,47506.2670174188
"401","Pierce","Tacoma","SOV",537,0.335253814817469,0.0268548852481392,337923.212213225,30404.1109300849
"402","Pierce","Tacoma","Transit",55,0.0175015132973355,0.00424590213502066,17640.8659070683,4214.79447453243
"403","Pierce","Tacoma","Walk",272,0.158101066177925,0.0219819254416263,159359.917101221,24047.3315182827
"404","Pierce","Tukwila","HOV",7,0.788631496323719,0.150561513961415,19479.5835662143,11278.8442786508
"405","Pierce","Tukwila","SOV",9,0.204673877933371,0.149352272399003,5055.54486171279,3617.7280162121
"406","Pierce","Tukwila","Transit",1,0.00133892514858197,0.00148333941236246,33.0721058470156,33.0721058470611
"407","Pierce","Tukwila","Walk",2,0.00535570059432786,0.00455913215803939,132.288423388062,93.5405090676142
"408","Pierce","Unincorporated Chelan County","SOV",5,0.868404167525128,0.113076489604053,1742.28462597677,1593.19690748657
"409","Pierce","Unincorporated Chelan County","Walk",7,0.131595832474872,0.113076489604053,264.021528612653,99.7809503189462
"410","Pierce","Unincorporated Cowlitz County","HOV",1,0.643708677873815,0.324352104339957,262.172457053236,262.17245705307
"411","Pierce","Unincorporated Cowlitz County","SOV",1,0.356291322126185,0.324352104339957,145.111872123742,145.111872123558
"412","Pierce","Unincorporated Grant County","SOV",6,1,5.54454784782194e-17,18754.4798421067,9366.14612911954
"413","Pierce","Unincorporated Grays Harbor County","HOV",9,1,0,2350.49168518057,794.493468764772
"414","Pierce","Unincorporated King County","HOV",1,0.0316163130932202,0.0376783316475906,161.046732550172,161.0467325502
"415","Pierce","Unincorporated King County","SOV",4,0.645163267209594,0.302475505267518,3286.32360892767,3131.54350245743
"416","Pierce","Unincorporated King County","Walk",1,0.323220419697185,0.295708685356122,1646.41564410903,1646.41564410987
"417","Pierce","Unincorporated Kitsap County","SOV",2,1,0,208.538728954363,172.691783545452
"418","Pierce","Unincorporated Kittitas County","SOV",1,1,0,4683.29784942541,4683.29784942053
"419","Pierce","Unincorporated Pierce County","Bike/Micromobility",10,0.00464731664089392,0.00262997174771864,4600.3734803373,2594.98059928883
"420","Pierce","Unincorporated Pierce County","HOV",255,0.538870399237652,0.0346825506065008,533427.198004487,55763.3314982197
"421","Pierce","Unincorporated Pierce County","SOV",296,0.375395038784201,0.0328050131518317,371603.123806268,38203.4146144155
"422","Pierce","Unincorporated Pierce County","Transit",32,0.0371174288103586,0.0133607255384932,36742.500748698,13476.6402133207
"423","Pierce","Unincorporated Pierce County","Walk",53,0.0439698165268949,0.0111351171607222,43525.6715898566,11080.4736040191
"424","Pierce","Unincorporated Skagit County","SOV",1,1,0,1225.38617943629,1225.38617943585
"425","Pierce","Unincorporated Snohomish County","HOV",1,1,0,63.6849805374276,63.6849805374099
"426","Pierce","Unincorporated Spokane County","SOV",1,1,0,10.6442222025102,10.6442222025025
"427","Pierce","Unincorporated Thurston County","HOV",9,0.0685735138020269,0.0428903554605693,2353.54139001263,1217.01550737475
"428","Pierce","Unincorporated Thurston County","SOV",21,0.80417266697294,0.0968602195542809,27600.3598401241,13518.0373795494
"429","Pierce","Unincorporated Thurston County","Walk",4,0.127253819225033,0.0749490677166293,4367.53367266486,2183.96109927779
"430","Pierce","University Place","HOV",49,0.310480866993389,0.109793621787751,28986.0934886391,13081.7755338671
"431","Pierce","University Place","SOV",83,0.582104246223819,0.10857440126928,54344.50201254,15313.7046262532
"432","Pierce","University Place","Transit",5,0.0114202023958136,0.00633170694042549,1066.17537341289,549.461061765963
"433","Pierce","University Place","Walk",12,0.095994684386979,0.0380324541484827,8961.93998360815,3293.23362953438
"434","Pierce",NA,"HOV",35,0.821574672873507,0.0722922167766238,24965.1662766496,6151.47289864539
"435","Pierce",NA,"SOV",6,0.162350017251668,0.0714024412097359,4933.32536837935,2298.53340465072
"436","Pierce",NA,"Transit",1,0.00535843662494163,0.00545437117806606,162.82666170401,162.826661704047
"437","Pierce",NA,"Walk",2,0.0107168732498833,0.00784685239186445,325.65332340802,230.267901536744
"438","Snohomish","Arlington","Bike/Micromobility",1,0.0130358659010057,0.0131060891061857,1087.57013288392,1087.57013288468
"439","Snohomish","Arlington","HOV",42,0.620524322839041,0.0880001099175426,51769.7654588249,13635.8484016108
"440","Snohomish","Arlington","SOV",65,0.358628563286566,0.0868460649673687,29920.046523296,8306.11379589229
"441","Snohomish","Arlington","Walk",2,0.00781124797338736,0.00568156246599482,651.685132458344,460.803428454172
"442","Snohomish","Auburn","SOV",2,1,0,430.528312002565,320.836087257185
"443","Snohomish","Bellevue","HOV",14,0.817843720812999,0.107679494407408,6910.29211577568,4568.0943148571
"444","Snohomish","Bellevue","SOV",12,0.169787907569115,0.101706464244916,1434.60664815348,445.388679484209
"445","Snohomish","Bellevue","Transit",1,0.00658450314213524,0.00745536740997309,55.6351280708813,55.6351280708488
"446","Snohomish","Bellevue","Walk",3,0.00578386847575045,0.0045712209892464,48.8702422107372,28.2143231784476
"447","Snohomish","Bothell","Bike/Micromobility",2,0.00748487194940138,0.00541353764434709,309.006923116863,218.497363762031
"448","Snohomish","Bothell","HOV",20,0.155705431003603,0.0453444077205613,6428.1735842998,1803.57722683076
"449","Snohomish","Bothell","SOV",54,0.707722832998097,0.0821172218598505,29217.768389716,5928.16592991526
"450","Snohomish","Bothell","Transit",2,0.0908160223655982,0.0813216352546987,3749.26649789247,3639.69383371267
"451","Snohomish","Bothell","Walk",7,0.0382708416833001,0.0161333138342352,1579.98094203802,630.594175262803
"452","Snohomish","Brier","HOV",6,0.360432064902129,0.149562216659545,3079.13197384875,1509.66846779196
"453","Snohomish","Brier","SOV",3,0.327427811925719,0.157501372815125,2797.18022618653,1692.07250227903
"454","Snohomish","Brier","Transit",3,0.312140123172152,0.152450425154226,2666.57916198838,1589.20826530774
"455","Snohomish","Burien","HOV",4,0.737394676948666,0.213153062576039,9256.6444139664,4628.09477286688
"456","Snohomish","Burien","SOV",2,0.262605323051334,0.213153062576039,3296.53057269112,3232.62776772938
"457","Snohomish","Darrington","SOV",6,1,0,178.826139644266,72.999486597368
"458","Snohomish","Edmonds","HOV",81,0.574474237447616,0.0600531048440477,171220.739221313,28480.4610740086
"459","Snohomish","Edmonds","SOV",94,0.352347001277613,0.0581427652641369,105016.221944447,21316.0823799826
"460","Snohomish","Edmonds","Transit",3,0.00745721727157699,0.00582502287355028,2222.60663845658,1727.46818178289
"461","Snohomish","Edmonds","Walk",29,0.0657215440031939,0.0269155114681386,19588.1566369092,8211.607317582
"462","Snohomish","Everett","Bike/Micromobility",7,0.00266596818791126,0.0010549294037188,1004.53458136761,387.11988213924
"463","Snohomish","Everett","HOV",135,0.210170144465825,0.0363752457762608,79191.9344890452,15112.0165519719
"464","Snohomish","Everett","SOV",381,0.584467227030936,0.0446188436152323,220226.761853676,29318.7551906056
"465","Snohomish","Everett","Transit",17,0.0519757581945797,0.016983891012466,19584.4221757811,6474.08011213088
"466","Snohomish","Everett","Walk",65,0.150720902120748,0.0282540323537654,56791.5097418459,11017.4592190697
"467","Snohomish","Federal Way","SOV",1,1,0,143.636015457782,143.63601545795
"468","Snohomish","Gold Bar","HOV",3,0.67010677543193,0.260496426750087,8070.37764949957,5440.98995242872
"469","Snohomish","Gold Bar","SOV",2,0.32989322456807,0.260496426750087,3973.04281031844,3839.63640300514
"470","Snohomish","Granite Falls","HOV",23,0.892605422687818,0.0716060949049845,36919.2009597325,10741.9569899571
"471","Snohomish","Granite Falls","SOV",8,0.0985124191891389,0.0711936320609567,4074.58851204542,3047.95330844933
"472","Snohomish","Granite Falls","Transit",1,0.00471120815072225,0.00485858911913447,194.861061851824,194.861061851814
"473","Snohomish","Granite Falls","Walk",3,0.00417094997232027,0.0026494504174284,172.515353712946,99.5985230011835
